0,10
1,11
2,12
3,13
4,14
5,15
6,16
7,17
8,18
9,19
10,20
11,21
12,22
13,23
14,24
15,25
16,26
17,27
18,28
19,29
20,30
21,31
22,32
23,33
24,34
25,35
26,36
27,37
28,38
29,39
30,40
31,41
32,42
33,43
34,44
35,45
36,46
37,47
38,48
39,49
40,50
41,51
42,52
43,53
44,54
45,55
46,56
47,57
48,58
49,59
50,60
51,61
52,62
53,63
54,64
55,65
56,66
57,67
58,68
59,69
60,70
61,71
62,72
63,73
64,74
65,75
66,76
67,77
68,78
69,79
70,80
71,81
72,82
73,83
74,84
75,85
76,86
77,87
78,88
79,89
80,90
81,91
82,92
83,93
84,94
85,95
86,96
87,97
88,98
89,99
90,100
91,101
92,102
93,103
94,104
95,105
96,106
97,107
98,108
99,109
